id	langCode	enLangName	nativeName
180	nv	Navajo	Diné bizaad
181	hak	Hakka	Hak-kâ-fa / 客家話
182	frr	North Frisian	Nordfriisk
183	ay	Aymara	Aymar
184	frp	Franco-Provençal/Arpitan	Arpitan
185	ext	Extremaduran	Estremeñu
186	szl	Silesian	Ślůnski
187	pcd	Picard	Picard
188	ie	Interlingue	Interlingue
189	gag	Gagauz	Gagauz
190	haw	Hawaiian	Hawai`i
191	xal	Kalmyk	Хальмг
192	ln	Lingala	Lingala
193	rw	Kinyarwanda	Ikinyarwanda
194	pdc	Pennsylvania German	Deitsch
195	pfl	Palatinate German	Pfälzisch
196	vep	Vepsian	Vepsän
197	krc	Karachay-Balkar	Къарачай-Малкъар (Qarachay-Malqar)
198	crh	Crimean Tatar	Qırımtatarca
199	eml	Emilian-Romagnol	Emiliàn e rumagnòl
200	gn	Guarani	Avañe'ẽ
201	ace	Acehnese	Bahsa Acèh
202	to	Tongan	faka Tonga
203	ce	Chechen	Нохчийн
204	kl	Greenlandic	Kalaallisut
205	arc	Assyrian Neo-Aramaic	ܐܪܡܝܐ
206	myv	Erzya	Эрзянь (Erzjanj Kelj)
207	dsb	Lower Sorbian	Dolnoserbski
208	as	Assamese	অসমীয়া
209	bjn	Banjar	Bahasa Banjar
210	pap	Papiamentu	Papiamentu
211	tpi	Tok Pisin	Tok Pisin
212	lbe	Lak	Лакку
213	mdf	Moksha	Мокшень (Mokshanj Kälj)
214	wo	Wolof	Wolof
215	jbo	Lojban	Lojban
216	kab	Kabyle	Taqbaylit
217	sn	Shona	chiShona
218	av	Avar	Авар
219	cbk-zam	Zamboanga Chavacano	Chavacano de Zamboanga
220	ty	Tahitian	Reo Mā`ohi
221	srn	Sranan	Sranantongo
222	kbd	Kabardian Circassian	Адыгэбзэ (Adighabze)
223	lo	Lao	ລາວ
224	lez	Lezgian	Лезги чІал (Lezgi č’al)
225	ab	Abkhazian	Аҧсуа
226	mwl	Mirandese	Mirandés
227	ltg	Latgalian	Latgaļu
228	na	Nauruan	dorerin Naoero
229	ig	Igbo	Igbo
230	kg	Kongo	KiKongo
231	tet	Tetum	Tetun
232	za	Zhuang	Cuengh
233	kaa	Karakalpak	Qaraqalpaqsha
234	nso	Northern Sotho	Sesotho sa Leboa
235	zu	Zulu	isiZulu
236	rmy	Romani	romani - रोमानी
237	cu	Old Church Slavonic	Словѣньскъ
238	tn	Tswana	Setswana
239	chr	Cherokee	ᏣᎳᎩ
240	chy	Cheyenne	Tsetsêhestâhese
241	got	Gothic	̲̹̺̿̈́̓
242	sm	Samoan	Gagana Samoa
243	bi	Bislama	Bislama
244	mo	Moldovan	Молдовеняскэ
245	bm	Bambara	Bamanankan
246	iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ
247	pih	Norfolk	Norfuk
248	ik	Inupiak	Iñupiak
249	ss	Swati	SiSwati
250	sd	Sindhi	سنڌي، سندھی ، सिन्ध
251	pnt	Pontic	Ποντιακά
252	cdo	Min Dong	Mìng-dĕ̤ng-ngṳ̄
253	ee	Ewe	Eʋegbe
254	ha	Hausa	هَوُسَ
255	ti	Tigrinya	ትግርኛ
256	bxr	Buryat (Russia)	Буряад
257	ts	Tsonga	Xitsonga
258	om	Oromo	Oromoo
259	ks	Kashmiri	कश्मीरी / كشميري
260	ki	Kikuyu	Gĩkũyũ
261	ve	Venda	Tshivenda
262	sg	Sango	Sängö
263	rn	Kirundi	Kirundi
264	cr	Cree	Nehiyaw
265	dz	Dzongkha	ཇོང་ཁ
266	lg	Luganda	Luganda
267	ak	Akan	Akana
268	ff	Fula	Fulfulde
269	tum	Tumbuka	chiTumbuka
270	fj	Fijian	Na Vosa Vakaviti
271	st	Sesotho	Sesotho
272	tw	Twi	Twi
273	xh	Xhosa	isiXhosa
274	ch	Chamorro	Chamoru
275	ny	Chichewa	Chi-Chewa
276	ng	Ndonga	Oshiwambo
277	ii	Sichuan Yi	ꆇꉙ
278	cho	Choctaw	Choctaw
279	mh	Marshallese	Ebon
280	aa	Afar	Afar
281	kj	Kuanyama	Kuanyama
282	ho	Hiri Motu	Hiri Motu
283	mus	Muscogee	Muskogee
284	kr	Kanuri	Kanuri
285	hz	Herero	Otsiherero
